pipe,n1,n4,n31,n54,n105,n114,n163,n188,n215,n229,n288,n296,n332,n342,n410,n415,n429,n458,n469,n495,n506,n516,n519,n549,n613,n636,n644,n679,n722,n726,n740,n752,n769
p135,-0.0006713867,-0.000667572,-0.0006713867,-0.4881668,-0.30917358,-0.36138535,-0.5730438,-0.6417122,0.0,-0.3997345,-0.22482681,-0.14554596,-0.4309044,-0.5085335,-0.48312187,-0.47234344,-0.47978973,-0.55181503,-0.30713654,-0.22827148,-0.35935974,-0.4770546,-0.4973297,-0.6450958,-0.5955391,-0.32146072,-0.3143654,-0.23601532,-0.16203308,-0.19807434,-0.08482361,-0.20126724,-0.14987946
p136,-0.00076293945,-0.00076675415,-0.00076675415,-0.5622635,-0.26548767,-0.30348206,-0.681118,-0.663044,0.0,-0.45962143,-0.25715637,-0.16653824,-0.3786049,-0.5900345,-0.5564995,-0.50935364,-0.5524788,-0.6711693,-0.26345825,-0.20384216,-0.30682755,-0.36985016,-0.5367737,-0.44211197,-0.6676712,-0.3690338,-0.36035156,-0.27038956,-0.18522644,-0.22642899,-0.09695053,-0.23001862,-0.1712799
p137,-0.0007343292,-0.0007362366,-0.00074005127,-0.5466194,-0.28232956,-0.32421112,-0.643898,-0.81381226,0.0,-0.4515381,-0.25281525,-0.16371536,-0.40184402,-0.5813904,-0.54140854,-0.50422287,-0.53790283,-0.6244316,-0.28021622,-0.2147026,-0.32697296,-0.40104675,-0.52910995,-0.4904251,-0.7197075,-0.36257553,-0.3541565,-0.2657585,-0.18211365,-0.22262955,-0.095329285,-0.22616959,-0.16841125
p138,-0.00076675415,-0.00076675415,-0.00077438354,-0.5638809,-0.25826645,-0.29517365,-0.65226746,-0.6507416,0.0,-0.46566772,-0.26034546,-0.16861343,-0.3679428,-0.6024513,-0.558548,-0.5035782,-0.55488586,-0.6590042,-0.25630188,-0.19844055,-0.2983513,-0.35957718,-0.5245285,-0.42958832,-0.6894722,-0.37376785,-0.36494064,-0.2738037,-0.18751144,-0.22922134,-0.09815216,-0.23284912,-0.17338943
p139,-0.00076675415,-0.00076675415,-0.00077438354,-0.5638809,-0.25826645,-0.29517365,-0.65226746,-0.6507416,0.0,-0.46566772,-0.26034546,-0.16861343,-0.3679428,-0.6024513,-0.558548,-0.5035782,-0.55488586,-0.6590042,-0.25630188,-0.19844055,-0.2983513,-0.35957718,-0.5245285,-0.42958832,-0.6894722,-0.37376785,-0.36494064,-0.2738037,-0.18751144,-0.22922134,-0.09815216,-0.23284912,-0.17338943
p140,-0.0007762909,-0.00077438354,-0.00077819824,-0.566761,-0.25934982,-0.29651642,-0.64315414,-0.6692085,0.0,-0.4722786,-0.2638626,-0.17089462,-0.36940765,-0.61416245,-0.56178665,-0.50442505,-0.5584259,-0.64748764,-0.25737762,-0.19914246,-0.29964066,-0.3616066,-0.52287674,-0.43273926,-0.74189377,-0.37895966,-0.3699646,-0.27754974,-0.19002914,-0.23230362,-0.09946823,-0.23596954,-0.17570877
p141,-0.0007724762,-0.00077438354,-0.00077819824,-0.5602913,-0.28022003,-0.32127,-0.6572571,-0.84095,0.0,-0.46393585,-0.25948334,-0.16804123,-0.39930344,-0.5990486,-0.5550709,-0.51239395,-0.5515404,-0.6399689,-0.2781067,-0.21379471,-0.32434082,-0.39534378,-0.53673553,-0.47959518,-0.75634766,-0.372406,-0.36365128,-0.27285004,-0.18688965,-0.22847366,-0.09782028,-0.23208618,-0.17282104
p142,-0.0007610321,-0.00075912476,-0.00076675415,-0.5637436,-0.25774765,-0.29473114,-0.63487244,-0.67103195,0.0,-0.4715767,-0.26346207,-0.17063141,-0.3670349,-0.6141815,-0.55896187,-0.5010147,-0.5557518,-0.63848877,-0.25579453,-0.19784546,-0.29779053,-0.3595543,-0.5183449,-0.43049622,-0.7606888,-0.3783722,-0.36941528,-0.2771225,-0.1897316,-0.23194504,-0.09931183,-0.23560715,-0.17543793
p143,-0.000787735,-0.00078582764,-0.00079345703,-0.5858841,-0.2791252,-0.31954956,-0.6696396,-0.78351974,0.0,-0.4893074,-0.27305603,-0.176857,-0.39786148,-0.63653564,-0.5808315,-0.52703476,-0.5774193,-0.66202927,-0.27698517,-0.2136879,-0.322834,-0.3916092,-0.5478821,-0.47224426,-0.8638954,-0.39246368,-0.38303757,-0.28733063,-0.19661713,-0.24036407,-0.10292053,-0.24413681,-0.18179321
p144,-0.00078582764,-0.00078582764,-0.00078964233,-0.583374,-0.260437,-0.29777908,-0.6325836,-0.68730164,0.0,-0.49799728,-0.27755356,-0.17977905,-0.37075806,-0.65413284,-0.57935715,-0.5121422,-0.5767288,-0.6382103,-0.258461,-0.20001984,-0.30085373,-0.36333466,-0.5245476,-0.43527222,-0.9601402,-0.399189,-0.3895645,-0.29216003,-0.19983292,-0.2442894,-0.104595184,-0.24811935,-0.18475723
p145,-0.000623703,-0.00062179565,-0.00062561035,-0.44657516,-0.14978027,-0.1707344,-0.35520935,-0.34619904,-0.30236435,-1.5085373,-0.2966652,-0.18784332,-0.21100998,-0.46888733,-0.45154953,-0.34608078,-0.45412827,-0.3861313,-0.14873123,-0.11595154,-0.17209244,-0.20554352,-0.3238144,-0.24129105,-0.38576126,-0.403759,-0.43431854,-0.30826187,-0.21081924,-0.25940704,-0.11010742,-0.26415634,-0.19651413
p146,-0.000623703,-0.00062179565,-0.00062561035,-0.44657516,-0.14978027,-0.1707344,-0.35520935,-0.34619904,-0.30236435,-1.5085373,-0.2966652,-0.18784332,-0.21100998,-0.46888733,-0.45154953,-0.34608078,-0.45412827,-0.3861313,-0.14873123,-0.11595154,-0.17209244,-0.20554352,-0.3238144,-0.24129105,-0.38576126,-0.403759,-0.43431854,-0.30826187,-0.21081924,-0.25940704,-0.11010742,-0.26415634,-0.19651413
p147,-0.00066185,-0.0006637573,-0.0006713867,-0.48100662,-0.16047668,-0.18290329,-0.3813324,-0.37153625,-1.1378136,-1.6559525,-0.31895447,-0.20189285,-0.2262764,-0.50487137,-0.48645592,-0.37196732,-0.48918152,-0.41487885,-0.1593399,-0.124313354,-0.18442535,-0.22023773,-0.34774017,-0.25870514,-0.41415024,-0.43439484,-0.4682083,-0.3315773,-0.2265358,-0.27877426,-0.11830139,-0.2838478,-0.21114731
p148,-0.0006389618,-0.00064086914,-0.00064468384,-0.4651718,-0.15556335,-0.17732239,-0.3693428,-0.35990906,-0.50686646,-1.5877304,-0.308712,-0.19543457,-0.21927261,-0.48833847,-0.47039986,-0.3600769,-0.4730568,-0.40167618,-0.15447235,-0.120479584,-0.17877197,-0.21350098,-0.33675003,-0.25071716,-0.4011116,-0.42030716,-0.4526024,-0.3208542,-0.21931076,-0.26987076,-0.114536285,-0.27479553,-0.20441818
p149,-0.0006389618,-0.00064086914,-0.00064468384,-0.4651718,-0.15556335,-0.17732239,-0.3693428,-0.35990906,-0.50686646,-1.5877304,-0.308712,-0.19543457,-0.21927261,-0.48833847,-0.47039986,-0.3600769,-0.4730568,-0.40167618,-0.15447235,-0.120479584,-0.17877197,-0.21350098,-0.33675003,-0.25071716,-0.4011116,-0.42030716,-0.4526024,-0.3208542,-0.21931076,-0.26987076,-0.114536285,-0.27479553,-0.20441818
p150,-0.0006389618,-0.00064086914,-0.00064849854,-0.47538376,-0.15873718,-0.18092728,-0.377079,-0.36741638,-0.81453323,-1.6316795,-0.31532288,-0.19960403,-0.22379303,-0.49900436,-0.48075676,-0.36776352,-0.48345947,-0.41020203,-0.15761566,-0.12295532,-0.18242264,-0.21784973,-0.34384918,-0.255867,-0.40953064,-0.42939377,-0.4626732,-0.32777023,-0.22397614,-0.27561188,-0.11696625,-0.28063583,-0.20875931
p151,-0.00064468384,-0.00064468384,-0.00064849854,-0.47607422,-0.15895462,-0.18117142,-0.37760162,-0.36791992,-1.1763268,-1.6346588,-0.3157692,-0.1998825,-0.2240982,-0.49972534,-0.48145485,-0.36827087,-0.4841652,-0.41077805,-0.15782547,-0.123119354,-0.1826706,-0.21814346,-0.3443222,-0.25621414,-0.4100952,-0.43000793,-0.46334457,-0.32823944,-0.22428131,-0.2760048,-0.117126465,-0.28102493,-0.20905304
p152,-0.00064468384,-0.00064468384,-0.00064849854,-0.47607422,-0.15895462,-0.18117142,-0.37760162,-0.36791992,-1.1763268,-1.6346588,-0.3157692,-0.1998825,-0.2240982,-0.49972534,-0.48145485,-0.36827087,-0.4841652,-0.41077805,-0.15782547,-0.123119354,-0.1826706,-0.21814346,-0.3443222,-0.25621414,-0.4100952,-0.43000793,-0.46334457,-0.32823944,-0.22428131,-0.2760048,-0.117126465,-0.28102493,-0.20905304
p153,-0.0007095337,-0.0007095337,-0.0007133484,-0.5313797,-0.17591095,-0.20042801,-0.41912842,-0.40815353,0.0,-0.6903572,-0.3527794,-0.22305298,-0.24830627,-0.5569954,-0.5376091,-0.40958405,-0.5405617,-0.45656967,-0.17464447,-0.13639069,-0.20221329,-0.24142838,-0.38240814,-0.28382874,-0.45518112,-0.4800911,-0.5206566,-0.36688614,-0.25024414,-0.30807877,-0.1306572,-0.31365967,-0.23329926
p154,-0.00063705444,-0.00063705444,-0.00064468384,-0.4594307,-0.15374374,-0.17523956,-0.36483765,-0.35552597,0.0,-0.57800674,-0.44255447,-0.24892426,-0.21665955,-0.4819107,-0.4645977,-0.3557129,-0.46727753,-0.39673996,-0.15266037,-0.11904144,-0.17665482,-0.21097183,-0.33267593,-0.24772263,-0.39616013,-0.44395828,-0.7860489,-0.43250656,-0.2944603,-0.37478638,-0.15192795,-0.3863907,-0.28600693
p155,-0.00061798096,-0.00061798096,-0.00062179565,-0.46014023,-0.15401077,-0.17555237,-0.3655281,-0.35621262,0.0,-1.5661087,-0.30545425,-0.19338226,-0.21704483,-0.48308182,-0.46530342,-0.35629272,-0.46793747,-0.3974762,-0.15292358,-0.11925888,-0.17696762,-0.21135712,-0.3332634,-0.24817657,-0.39696503,-0.4158287,-0.4476509,-0.31745148,-0.21701813,-0.26704407,-0.11333847,-0.27192307,-0.20228195
p156,-0.0005931854,-0.0005912781,-0.00059890747,-0.42770386,-0.14385605,-0.16401291,-0.34066772,-0.33207703,0.0,-0.52890015,-0.4992485,-0.2680893,-0.20256042,-0.44844055,-0.43246078,-0.33185196,-0.43499756,-0.37015152,-0.14286041,-0.111328125,-0.16527557,-0.19739532,-0.31059647,-0.23163605,-0.3698578,-0.4316826,-0.8585663,-0.4864998,-0.3244629,-0.41920853,-0.16627884,-0.43317413,-0.31970215
p157,-0.0006504059,-0.00064849854,-0.00065231323,-0.46780014,-0.15639114,-0.17825699,-0.3713379,-0.3618431,-0.19694138,-1.5989532,-0.31041336,-0.19651031,-0.2204361,-0.49108505,-0.47306633,-0.3620491,-0.4757347,-0.40387344,-0.15528107,-0.12111664,-0.17971802,-0.21462631,-0.3385849,-0.25204468,-0.40328598,-0.42264557,-0.45519257,-0.32263565,-0.22051239,-0.27135468,-0.11515808,-0.27629852,-0.20553589
p158,-0.00061035156,-0.00060653687,-0.00061416626,-0.44514847,-0.14931488,-0.17021942,-0.35398483,-0.3449974,0.0,-0.553833,-0.4960022,-0.26784515,-0.2103424,-0.46678925,-0.45013237,-0.34500122,-0.45274353,-0.38479233,-0.14826965,-0.11558914,-0.1715622,-0.20489502,-0.3227768,-0.24051666,-0.38433456,-0.4426422,-1.0709381,-0.4767685,-0.32278824,-0.41578293,-0.16574097,-0.43024826,-0.31785202
p159,-0.00064468384,-0.00064468384,-0.00064849854,-0.47062302,-0.15726471,-0.17925262,-0.37348175,-0.3639183,-0.2577057,-1.6111107,-0.3122406,-0.19766235,-0.22169113,-0.4940338,-0.47592926,-0.36418152,-0.4786148,-0.40623856,-0.15615082,-0.1218071,-0.1807251,-0.21582413,-0.34054947,-0.25347137,-0.40560913,-0.42515564,-0.45797348,-0.3245468,-0.22179794,-0.27294922,-0.1158371,-0.27791595,-0.20673752
p160,-0.00065612793,-0.00065231323,-0.0006599426,-0.47894287,-0.15984344,-0.18218231,-0.37977982,-0.37002945,-0.38832474,-1.6470108,-0.31762314,-0.20105362,-0.22536469,-0.5027275,-0.48436737,-0.37043,-0.48708725,-0.41316986,-0.15871048,-0.123817444,-0.18369675,-0.21936417,-0.34631348,-0.25767136,-0.41246033,-0.43256378,-0.46617126,-0.33018494,-0.22559738,-0.2776146,-0.11781311,-0.28267288,-0.21027374
p161,-0.0006275177,-0.00062942505,-0.00063323975,-0.44123077,-0.14809418,-0.16882324,-0.35099792,-0.3420868,0.0,-0.5456734,-0.5533409,-0.2869339,-0.20858765,-0.4626236,-0.44616127,-0.34205246,-0.4487648,-0.38149643,-0.14706421,-0.11462784,-0.17014694,-0.20321274,-0.32003784,-0.23851776,-0.3810768,-0.4459648,-0.8379097,-0.511364,-0.35144043,-0.45724106,-0.17985535,-0.4762497,-0.35151672
p162,-0.00065612793,-0.00065231323,-0.0006599426,-0.48337173,-0.16121292,-0.1837349,-0.3831253,-0.37327576,-0.46268845,-1.6661797,-0.32048798,-0.20286179,-0.22732544,-0.50733566,-0.48885536,-0.37374878,-0.4915924,-0.41685867,-0.16007233,-0.12489319,-0.18527603,-0.22125244,-0.34938812,-0.25989532,-0.41609573,-0.43649673,-0.4705429,-0.3331833,-0.22761154,-0.2801094,-0.11886978,-0.2851944,-0.21215439
p163,-0.0005836487,-0.000579834,-0.0005874634,-0.40041733,-0.13529968,-0.15428162,-0.31977463,-0.31178665,0.0,-0.48692703,-0.6708946,-0.31975174,-0.19035721,-0.4194641,-0.40483093,-0.31126785,-0.40724564,-0.3471794,-0.1343689,-0.104637146,-0.15540695,-0.18563843,-0.29151535,-0.21770859,-0.34709167,-0.42469025,-0.6730232,-0.57463455,-0.40535355,-0.538826,-0.2057991,-0.5685959,-0.41869736
p164,-0.00046348572,-0.00046539307,-0.00046920776,-0.35330582,-0.12008667,-0.13700104,-0.28276062,-0.27575684,0.0,-0.40260315,-0.3752098,-0.27532578,-0.16871643,-0.3682747,-0.3574543,-0.27523422,-0.35954285,-0.3066826,-0.11928558,-0.09278488,-0.13788986,-0.1647644,-0.2578888,-0.19298172,-0.30664444,-0.4704399,-0.40841675,-0.43312454,-0.28782654,-0.33911514,-0.15234375,-0.33983612,-0.25445938
p165,-0.0004749298,-0.00047683716,-0.00048446655,-0.3560524,-0.12121582,-0.13827896,-0.28541565,-0.27838135,0.0,-0.42214203,-0.5224457,-0.29076004,-0.1702919,-0.37186813,-0.3600521,-0.27760696,-0.36218262,-0.30950928,-0.12040329,-0.093647,-0.13918686,-0.16629791,-0.26021194,-0.1947937,-0.30960464,-0.41696167,-0.51802444,-0.7148094,-0.3509903,-0.45440292,-0.17874908,-0.459507,-0.33759308
p166,-0.0005187988,-0.0005187988,-0.0005264282,-0.38492203,-0.13043213,-0.14875412,-0.30786133,-0.30020523,0.0,-0.4661255,-0.6098442,-0.30368805,-0.18341827,-0.40286636,-0.38918495,-0.299572,-0.39149475,-0.33409882,-0.12954712,-0.10084152,-0.14980698,-0.17895508,-0.28066254,-0.20978546,-0.33407974,-0.4155159,-0.63531494,-0.5789833,-0.38048553,-0.50260544,-0.1930542,-0.5224724,-0.3841095
p167,-0.00051116943,-0.00051498413,-0.0005226135,-0.36938095,-0.12552261,-0.14316177,-0.29593658,-0.28862762,0.0,-0.44646072,-0.76830673,-0.35606384,-0.17642593,-0.38653183,-0.37342072,-0.28781128,-0.3756752,-0.32100677,-0.12467575,-0.09700775,-0.14414215,-0.17219925,-0.26975632,-0.2018013,-0.32112503,-0.4027443,-0.59070206,-0.6024132,-0.465271,-0.62776566,-0.23654556,-0.68473816,-0.50990295
p168,-0.00046539307,-0.00046157837,-0.00046920776,-0.3472557,-0.118442535,-0.13512039,-0.2788124,-0.27199554,0.0,-0.41917038,-0.7238655,-0.33501053,-0.16638184,-0.36314774,-0.3510418,-0.27098083,-0.35318375,-0.3022461,-0.11766052,-0.091495514,-0.13600159,-0.16249466,-0.2541237,-0.19032669,-0.3025093,-0.38370132,-0.54491425,-0.6445236,-0.4384346,-0.59835434,-0.21763611,-0.61481094,-0.44543076
p169,-0.00046539307,-0.00046539307,-0.00047302246,-0.33525848,-0.11460495,-0.13075638,-0.26953506,-0.2629738,0.0,-0.4046669,-0.7050667,-0.33327484,-0.16093445,-0.35046387,-0.33890343,-0.26185608,-0.34097672,-0.2920723,-0.113853455,-0.08850098,-0.13158798,-0.15721893,-0.2456398,-0.18410492,-0.2924118,-0.37182617,-0.5237465,-0.6272545,-0.43885422,-0.6040077,-0.21687698,-0.6180954,-0.44401932
p170,-0.00049972534,-0.00049591064,-0.00050354004,-0.35637283,-0.12137604,-0.13845062,-0.2858925,-0.27886963,0.0,-0.43090057,-0.7608299,-0.3464012,-0.17053604,-0.3727913,-0.3602543,-0.2779312,-0.36244202,-0.30999756,-0.12056732,-0.09377289,-0.13936996,-0.16651154,-0.26057816,-0.19507599,-0.31020355,-0.38977814,-0.56705475,-0.58861923,-0.45324326,-0.6125946,-0.22992706,-0.66563416,-0.4940033
p171,-0.00026130676,-0.0002593994,-0.0002670288,-0.1972351,-0.069057465,-0.078884125,-0.16069412,-0.15702057,0.0,-0.22839355,-0.24642181,-0.31347656,-0.0965538,-0.20471191,-0.19949722,-0.15548325,-0.200737,-0.17341614,-0.068626404,-0.053150177,-0.07920456,-0.0947113,-0.14635849,-0.11055374,-0.17416763,-0.26623917,-0.24094772,-0.26406097,-0.25653076,-0.24886703,-0.14198685,-0.2399025,-0.1868515
p172,-0.00025558472,-0.0002593994,-0.0002593994,-0.2110672,-0.0739212,-0.08442688,-0.17206192,-0.16811752,0.0,-0.24739838,-0.33787155,-0.6556015,-0.10335922,-0.21938705,-0.21339035,-0.16645432,-0.2147026,-0.18569183,-0.073467255,-0.056900024,-0.08478165,-0.101364136,-0.1566925,-0.11834335,-0.18649673,-0.26597977,-0.28388596,-0.33496094,-0.4419136,-0.38219452,-0.22502899,-0.35375595,-0.27848053
p173,-0.00029563904,-0.0002975464,-0.00030136108,-0.22402573,-0.078315735,-0.08944321,-0.1824379,-0.1782341,0.0,-0.26415253,-0.38114166,-0.67233276,-0.10954666,-0.23300552,-0.22646713,-0.17656326,-0.2278595,-0.19696426,-0.07783127,-0.060302734,-0.089839935,-0.10739899,-0.1661644,-0.12541199,-0.19775772,-0.2748947,-0.310894,-0.3727951,-0.5108681,-0.43610764,-0.24883652,-0.4016838,-0.31348038
p174,-0.00030517578,-0.00030517578,-0.00031280518,-0.23736191,-0.08280182,-0.09455109,-0.19306564,-0.18858719,0.0,-0.28154755,-0.42516708,-0.58680725,-0.1158638,-0.2470398,-0.23992157,-0.18692398,-0.24139404,-0.2085228,-0.08228302,-0.06377411,-0.09498978,-0.11354828,-0.17585754,-0.13263702,-0.20928192,-0.2842331,-0.3404007,-0.4112854,-0.5924034,-0.49398422,-0.26207352,-0.44919205,-0.34514618
p175,-0.00039291382,-0.00039291382,-0.00039672852,-0.29845047,-0.102817535,-0.1173439,-0.24099731,-0.23522949,0.0,-0.35853958,-0.5915413,-0.38825607,-0.14418411,-0.3114586,-0.30166245,-0.2338562,-0.3035164,-0.2608261,-0.10215378,-0.079322815,-0.11800766,-0.14102936,-0.21960449,-0.16497803,-0.2613449,-0.33891678,-0.45649338,-0.5735512,-0.53593826,-0.7644119,-0.23889542,-0.60814667,-0.43214035
p176,-0.0004234314,-0.0004272461,-0.0004310608,-0.325634,-0.11152649,-0.12725067,-0.26208878,-0.25572968,0.0,-0.3932953,-0.69270325,-0.34059906,-0.15655136,-0.34031296,-0.3291626,-0.25453568,-0.3311882,-0.28391647,-0.11079407,-0.08610535,-0.1280365,-0.15299225,-0.23884583,-0.1791153,-0.28431702,-0.36122513,-0.50875473,-0.58028793,-0.45386887,-0.63955307,-0.2230568,-0.6524048,-0.46014786
p177,-0.0004234314,-0.0004272461,-0.0004310608,-0.325634,-0.11152649,-0.12725067,-0.26208878,-0.25572968,0.0,-0.3932953,-0.69270325,-0.34059906,-0.15655136,-0.34031296,-0.3291626,-0.25453568,-0.3311882,-0.28391647,-0.11079407,-0.08610535,-0.1280365,-0.15299225,-0.23884583,-0.1791153,-0.28431702,-0.36122513,-0.50875473,-0.58028793,-0.45386887,-0.63955307,-0.2230568,-0.6524048,-0.46014786
p178,-0.00041389465,-0.0004119873,-0.0004196167,-0.302639,-0.10416412,-0.11886978,-0.24425888,-0.23840332,0.0,-0.36418915,-0.60902405,-0.37041092,-0.14609528,-0.31591415,-0.30590057,-0.2370491,-0.30778122,-0.26439667,-0.10349655,-0.08037186,-0.11956024,-0.14287567,-0.22257614,-0.16717148,-0.2649002,-0.3415413,-0.4659462,-0.5700035,-0.5122528,-0.9196701,-0.23577881,-0.6461792,-0.4474907
p179,-0.00025558472,-0.00025558472,-0.0002593994,-0.21155548,-0.07413483,-0.084682465,-0.17253494,-0.16858673,0.0,-0.24921417,-0.35623932,-1.1764297,-0.10365677,-0.21994019,-0.21386528,-0.166893,-0.21517944,-0.18619156,-0.07368088,-0.057064056,-0.08503342,-0.10166168,-0.15712738,-0.118686676,-0.18701553,-0.26156616,-0.2917099,-0.3481369,-0.48158646,-0.40704346,-0.2539215,-0.3775215,-0.30039215
p180,-0.0002632141,-0.0002632141,-0.0002670288,-0.213768,-0.07488251,-0.08552933,-0.17429733,-0.17030716,0.0,-0.25188446,-0.3610382,-1.2574158,-0.10471344,-0.22225952,-0.2161026,-0.16861725,-0.21743011,-0.18811035,-0.074417114,-0.057640076,-0.08589554,-0.102687836,-0.15872574,-0.119888306,-0.18893051,-0.26385498,-0.29525375,-0.35253525,-0.48840714,-0.41265106,-0.2574997,-0.38277435,-0.30449677
p181,-0.0002632141,-0.0002632141,-0.0002670288,-0.213768,-0.07488251,-0.08552933,-0.17429733,-0.17030716,0.0,-0.25188446,-0.3610382,-1.2574158,-0.10471344,-0.22225952,-0.2161026,-0.16861725,-0.21743011,-0.18811035,-0.074417114,-0.057640076,-0.08589554,-0.102687836,-0.15872574,-0.119888306,-0.18893051,-0.26385498,-0.29525375,-0.35253525,-0.48840714,-0.41265106,-0.2574997,-0.38277435,-0.30449677
p182,-4.7683716e-05,-4.9591064e-05,-5.722046e-05,-0.02905655,-0.010643005,-0.012176514,-0.024375916,-0.02388382,0.0,-0.034492493,-0.039749146,-0.048866272,-0.014781952,-0.029972076,-0.029411316,-0.023326874,-0.02960205,-0.026100159,-0.010585785,-0.008148193,-0.012187958,-0.014572144,-0.022129059,-0.01695633,-0.026374817,-0.040599823,-0.037391663,-0.041770935,-0.043907166,-0.040958405,-0.05035019,-0.039665222,-0.033798218
p183,-0.00039672852,-0.00039672852,-0.0004005432,-0.30632782,-0.10533905,-0.120212555,-0.2471199,-0.24118042,0.0,-0.36954498,-0.6327553,-0.35576248,-0.14777374,-0.31985092,-0.30962944,-0.23984909,-0.31153107,-0.26753235,-0.10466385,-0.08128357,-0.120918274,-0.14449692,-0.22518158,-0.16907501,-0.26802444,-0.34248352,-0.47629547,-0.54045105,-0.48545837,-0.6634979,-0.23495102,-0.85152054,-0.48459625
p184,-0.0004310608,-0.0004310608,-0.0004348755,-0.32331085,-0.11081314,-0.12644577,-0.26032257,-0.25401688,0.0,-0.3903122,-0.67515564,-0.35798264,-0.15553284,-0.33779144,-0.32680893,-0.25280762,-0.32881165,-0.2819748,-0.11009216,-0.0855484,-0.12721634,-0.15201569,-0.23723984,-0.177948,-0.28237534,-0.35923767,-0.5047722,-0.5627556,-0.48065948,-0.66152954,-0.23884583,-0.77262115,-0.511425
p185,-0.00041389465,-0.0004196167,-0.0004234314,-0.3113327,-0.10695648,-0.12205505,-0.2510147,-0.24496841,0.0,-0.3756714,-0.6450424,-0.35816956,-0.15007019,-0.3251419,-0.31469536,-0.24367142,-0.31663132,-0.27178955,-0.10626602,-0.08255005,-0.122779846,-0.14671326,-0.22873688,-0.17170334,-0.27225494,-0.34744644,-0.48456192,-0.5455971,-0.48687744,-0.6593933,-0.23773956,-1.0371742,-0.49773026
p186,-0.0002746582,-0.0002746582,-0.0002784729,-0.21682358,-0.075935364,-0.08673096,-0.17677689,-0.17272186,0.0,-0.2566986,-0.3827629,-0.72976685,-0.10618591,-0.2254982,-0.21917152,-0.1710167,-0.22052002,-0.1907959,-0.07546997,-0.05845642,-0.08710098,-0.10412979,-0.16099167,-0.12158203,-0.19161606,-0.26288986,-0.30719757,-0.36745453,-0.5386696,-0.43985748,-0.31562805,-0.4128418,-0.3374672
p187,-0.00044059753,-0.00044250488,-0.00045013428,-0.33047485,-0.1131134,-0.12905502,-0.26588058,-0.2594223,0.0,-0.39912033,-0.69397736,-0.35838318,-0.15879822,-0.3453827,-0.33404732,-0.25826263,-0.3360939,-0.28806305,-0.11237335,-0.087337494,-0.12986374,-0.15517044,-0.24230957,-0.18167877,-0.28842163,-0.36593246,-0.51742554,-0.5663147,-0.47663116,-0.6452522,-0.24196243,-0.75393677,-0.53557205
p188,-0.00023651123,-0.00023651123,-0.00024032593,-0.1783104,-0.06301117,-0.07199097,-0.14620972,-0.14295578,0.0,-0.21213913,-0.3296585,-0.42997742,-0.08799362,-0.18532562,-0.18025208,-0.14115143,-0.18136597,-0.15756989,-0.0626297,-0.048446655,-0.072250366,-0.08639145,-0.1330719,-0.10078812,-0.15849304,-0.21437836,-0.25826263,-0.30766678,-0.46945953,-0.37383652,-0.50156784,-0.35915756,-0.34991837
p189,-0.00025367737,-0.00025177002,-0.00025558472,-0.21188354,-0.07435608,-0.084934235,-0.17298889,-0.16904068,0.0,-0.252079,-0.38994217,-0.5126953,-0.1039505,-0.22037125,-0.21414757,-0.16727448,-0.21546555,-0.18665314,-0.0738945,-0.05722809,-0.08528519,-0.10196304,-0.1575203,-0.119026184,-0.1875,-0.2525177,-0.3076172,-0.3663826,-0.5727806,-0.4484253,-0.37818146,-0.42874908,-0.36157227
p190,-0.0004386902,-0.0004348755,-0.00044631958,-0.32917404,-0.11269379,-0.12857819,-0.2648735,-0.25844574,0.0,-0.39760208,-0.69148254,-0.35664368,-0.15820694,-0.34401703,-0.33273125,-0.257267,-0.33477402,-0.2869606,-0.11195755,-0.087013245,-0.12937927,-0.15459442,-0.24139404,-0.18099594,-0.28733444,-0.36445618,-0.51546097,-0.56280136,-0.4736061,-0.639328,-0.24147034,-0.746685,-0.5382805
p191,-0.0003681183,-0.00037002563,-0.00037384033,-0.28424835,-0.09823227,-0.11212158,-0.22995758,-0.22449112,0.0,-0.3415413,-0.567379,-0.40532303,-0.13768005,-0.2964859,-0.28729057,-0.22301865,-0.2890625,-0.24875641,-0.097602844,-0.07575607,-0.11273193,-0.1347313,-0.20951843,-0.15755081,-0.24934769,-0.32331848,-0.4349327,-0.5091553,-0.61647415,-0.7104912,-0.26100922,-0.6895523,-0.45016098
p192,-0.0004196167,-0.0004196167,-0.0004234314,-0.31175995,-0.107097626,-0.12221527,-0.25134277,-0.24529266,0.0,-0.3762474,-0.6463852,-0.3608055,-0.1502533,-0.3255844,-0.3151245,-0.24399567,-0.31706238,-0.27215576,-0.106407166,-0.08265686,-0.12293625,-0.1469078,-0.22904587,-0.17192078,-0.27261734,-0.34780502,-0.48547745,-0.54222107,-0.48851013,-0.646904,-0.24276733,-0.8489914,-0.52619934
p193,-0.0004234314,-0.0004196167,-0.0004272461,-0.31250763,-0.10733414,-0.122486115,-0.2519188,-0.24584961,0.0,-0.3772545,-0.64943695,-0.35825348,-0.15059662,-0.3263855,-0.3158741,-0.24456024,-0.3178177,-0.2727852,-0.10663223,-0.082839966,-0.12321472,-0.14722824,-0.22956848,-0.17230988,-0.27323914,-0.34825134,-0.4871788,-0.5407829,-0.48132706,-0.6365166,-0.24349594,-0.80685806,-0.54289246
