pipe,start,end,length_m,zone,start_x,start_y,end_x,end_y,diameter_mm
p376,n427,n428,48.0736,9,807.97,1102.08,854.26,1089.09,200.0
p377,n428,n429,51.7523,9,854.26,1089.09,904.62,1077.18,200.0
p378,n429,n430,47.3797,9,904.62,1077.18,951.61,1083.25,200.0
p379,n430,n431,47.2886,9,951.61,1083.25,998.83,1085.74,200.0
p380,n431,n432,48.3442,7,998.83,1085.74,1047.15,1084.17,200.0
p381,n432,n433,47.6579,7,1047.15,1084.17,1094.8,1083.12,200.0
p382,n433,n85,47.8974,7,1094.8,1083.12,1142.52,1079.08,200.0
p383,n68,n434,44.2086,9,906.24,1259.09,940.91,1231.66,100.0
p384,n434,n75,44.2101,9,940.91,1231.66,975.58,1204.22,100.0
p385,n69,n435,62.9855,9,674.2,852.92,670.66,915.81,100.0
p386,n435,n70,45.7475,9,670.66,915.81,716.36,917.96,100.0
p387,n72,n436,51.6169,9,855.04,1060.67,904.61,1046.25,150.0
p388,n436,n77,51.6072,9,904.61,1046.25,954.16,1031.85,150.0
p389,n74,n437,44.9696,9,857.37,1016.18,902.13,1011.87,100.0
p390,n437,n79,44.9696,7,902.13,1011.87,946.9,1007.57,100.0
p391,n75,n438,54.0942,9,975.58,1204.22,1019.47,1172.6,100.0
p392,n438,n82,54.0843,9,1019.47,1172.6,1063.35,1140.98,100.0
p393,n76,n439,41.1824,7,861.89,948.46,902.9,952.23,100.0
p394,n439,n81,41.1824,7,902.9,952.23,943.91,956.0,100.0
p395,n77,n440,44.8541,7,954.16,1031.85,997.91,1021.94,150.0
p396,n440,n441,44.8445,7,997.91,1021.94,1041.64,1012.03,150.0
p397,n441,n442,58.9926,7,1041.64,1012.03,1095.65,988.29,150.0
p398,n442,n87,33.7082,7,1095.65,988.29,1129.13,992.21,150.0
p399,n78,n443,49.187,7,866.29,878.52,913.87,891.0,100.0
p400,n443,n444,43.6626,7,913.87,891.0,956.94,898.18,100.0
p401,n444,n84,42.9463,7,956.94,898.18,954.19,855.32,100.0
p402,n80,n445,44.2564,7,869.08,831.04,911.64,843.18,100.0
p403,n445,n84,44.2494,7,911.64,843.18,954.19,855.32,100.0
p404,n81,n446,54.4589,7,943.91,956.0,996.98,943.75,100.0
p405,n446,n447,46.7165,7,996.98,943.75,1042.54,933.45,100.0
p406,n447,n448,49.8495,7,1042.54,933.45,1091.19,922.54,100.0
p407,n448,n89,47.0062,7,1091.19,922.54,1097.78,876.0,100.0
p408,n82,n449,50.2513,7,1063.35,1140.98,1102.94,1110.03,100.0
p409,n449,n85,50.2513,7,1102.94,1110.03,1142.52,1079.08,100.0
p410,n83,n450,49.2875,7,1042.5,1036.71,1091.7,1033.83,100.0
p411,n450,n451,49.2875,7,1091.7,1033.83,1140.9,1030.96,100.0
p412,n451,n90,49.2875,7,1140.9,1030.96,1190.11,1028.08,100.0
p413,n84,n452,49.8375,7,954.19,855.32,1001.38,871.34,100.0
p414,n452,n453,48.5855,7,1001.38,871.34,1049.92,869.1,100.0
p415,n453,n89,48.353,7,1049.92,869.1,1097.78,876.0,100.0
p416,n87,n454,49.4835,7,1129.13,992.21,1161.85,955.1,150.0
p417,n454,n455,49.4898,7,1161.85,955.1,1194.59,917.99,150.0
p418,n455,n456,49.4835,7,1194.59,917.99,1227.32,880.87,150.0
p419,n456,n457,49.4898,7,1227.32,880.87,1260.06,843.76,150.0
p420,n457,n93,49.4835,7,1260.06,843.76,1292.79,806.64,150.0
p421,n89,n458,42.3914,7,1097.78,876.0,1066.26,847.65,100.0
p422,n458,n459,47.8763,7,1066.26,847.65,1026.06,821.64,100.0
p423,n459,n460,38.7107,7,1026.06,821.64,1005.02,789.15,100.0
p424,n460,n169,55.5815,7,1005.02,789.15,993.5,734.78,100.0
p425,n90,n461,49.43,7,1190.11,1028.08,1231.54,1001.12,200.0
p426,n461,n462,49.4395,7,1231.54,1001.12,1272.98,974.17,200.0
p427,n462,n340,49.43,7,1272.98,974.17,1314.42,947.21,200.0
p428,n93,n463,46.1048,7,1292.79,806.64,1252.34,784.51,100.0
p429,n463,n464,46.1134,7,1252.34,784.51,1211.89,762.37,100.0
p430,n464,n465,46.11,7,1211.89,762.37,1171.44,740.24,100.0
p431,n465,n184,46.1134,7,1171.44,740.24,1130.99,718.1,100.0
p432,n93,n466,44.2888,7,1292.79,806.64,1334.44,821.68,150.0
p433,n466,n467,44.2811,5,1334.44,821.68,1376.1,836.7,150.0
p434,n467,n342,44.2888,5,1376.1,836.7,1417.76,851.74,150.0
p435,n94,n468,61.2158,10,280.55,763.35,281.22,702.13,100.0
p436,n468,n98,61.2244,10,281.22,702.13,281.88,640.91,100.0
p437,n94,n469,59.0415,10,280.55,763.35,223.12,777.03,100.0
p438,n469,n470,48.9692,10,223.12,777.03,224.62,728.08,100.0
p439,n470,n471,38.2847,10,224.62,728.08,218.8,690.24,100.0
p440,n471,n95,46.223,10,218.8,690.24,226.16,644.61,100.0
p441,n95,n472,40.3008,10,226.16,644.61,220.72,604.68,100.0
p442,n472,n96,40.3008,10,220.72,604.68,215.29,564.74,100.0
p443,n96,n473,37.7905,10,215.29,564.74,252.89,560.92,100.0
p444,n473,n101,37.7814,10,252.89,560.92,290.47,557.11,100.0
p445,n97,n474,58.8701,10,331.42,760.19,330.68,701.33,100.0
p446,n474,n100,58.8652,10,330.68,701.33,329.93,642.47,100.0
p447,n97,n475,66.1955,10,331.42,760.19,396.98,751.05,100.0
p448,n475,n476,46.3511,10,396.98,751.05,406.25,705.63,100.0
p449,n476,n110,48.0382,10,406.25,705.63,415.72,658.53,100.0
p450,n98,n477,42.1265,10,281.88,640.91,286.18,599.01,100.0
p451,n477,n101,42.1206,10,286.18,599.01,290.47,557.11,100.0
p452,n99,n478,45.3559,10,208.68,502.81,201.14,458.08,100.0
p453,n478,n479,45.3559,8,201.14,458.08,193.61,413.36,100.0
p454,n479,n480,45.3524,8,193.61,413.36,186.07,368.64,100.0
p455,n480,n481,45.3559,8,186.07,368.64,178.54,323.91,100.0
p456,n481,n104,45.3559,8,178.54,323.91,171.01,279.19,100.0
p457,n100,n482,43.7858,10,329.93,642.47,373.67,640.4,100.0
p458,n482,n112,43.7858,10,373.67,640.4,417.4,638.33,100.0
p459,n100,n483,43.7708,10,329.93,642.47,331.29,598.72,100.0
p460,n483,n105,43.7793,10,331.29,598.72,332.64,554.96,100.0
p461,n106,n484,39.4389,8,274.45,441.94,261.18,404.8,100.0
p462,n484,n485,48.8057,8,261.18,404.8,256.04,356.27,100.0
p463,n485,n116,67.5757,8,256.04,356.27,256.48,288.69,100.0
p464,n108,n486,47.1461,8,163.99,239.76,173.17,193.52,100.0
p465,n486,n118,47.1471,8,173.17,193.52,182.34,147.27,100.0
p466,n108,n487,41.838,8,163.99,239.76,205.07,247.71,100.0
p467,n487,n119,41.838,8,205.07,247.71,246.15,255.65,100.0
p468,n109,n488,51.9688,10,314.52,498.03,316.84,446.11,150.0
p469,n488,n489,51.9688,8,316.84,446.11,319.16,394.2,150.0
p470,n489,n490,51.9688,8,319.16,394.2,321.48,342.28,150.0
p471,n490,n125,51.9688,8,321.48,342.28,323.81,290.36,150.0
p472,n112,n491,41.677,10,417.4,638.33,420.9,596.8,100.0
p473,n491,n120,41.6713,10,420.9,596.8,424.38,555.28,100.0
p474,n113,n492,49.435,10,384.78,555.06,381.77,505.71,100.0
p475,n492,n493,49.4306,10,381.77,505.71,378.74,456.38,100.0
p476,n493,n123,49.435,8,378.74,456.38,375.73,407.03,100.0
p477,n115,n494,46.8209,10,465.63,663.63,469.84,617.0,200.0
p478,n494,n124,46.8291,10,469.84,617.0,474.04,570.36,200.0
p479,n115,n495,44.8971,10,465.63,663.63,490.66,626.35,100.0
p480,n495,n128,44.8925,10,490.66,626.35,515.67,589.07,100.0
p481,n117,n496,56.0035,10,538.76,776.66,545.05,721.01,100.0
p482,n496,n497,56.0175,10,545.05,721.01,551.34,665.34,100.0
p483,n497,n130,56.0035,10,551.34,665.34,557.63,609.69,100.0
p484,n117,n498,61.2154,10,538.76,776.66,599.28,785.86,100.0
p485,n498,n129,61.2092,10,599.28,785.86,659.8,795.05,100.0
p486,n119,n499,46.182,8,246.15,255.65,258.37,211.12,100.0
p487,n499,n127,46.1819,8,258.37,211.12,270.57,166.58,100.0
p488,n120,n500,50.5681,10,424.38,555.28,439.17,506.92,100.0
p489,n500,n501,45.738,10,439.17,506.92,462.11,467.35,100.0
p490,n501,n502,46.546,10,462.11,467.35,487.75,428.51,100.0
p491,n502,n136,47.9078,8,487.75,428.51,513.76,388.27,100.0
p492,n121,n503,41.1083,8,194.1,136.42,232.34,151.5,100.0
p493,n503,n127,41.0942,8,232.34,151.5,270.57,166.58,100.0
p494,n122,n504,57.655,10,441.66,560.52,473.3,512.33,100.0
p495,n504,n505,57.6639,10,473.3,512.33,504.95,464.12,100.0
p496,n505,n334,57.655,10,504.95,464.12,536.59,415.93,100.0
p497,n123,n506,44.4234,8,375.73,407.03,417.64,392.3,100.0
p498,n506,n132,63.4395,8,417.64,392.3,424.4,329.23,100.0
p499,n123,n507,50.0966,8,375.73,407.03,377.5,356.97,100.0
p500,n507,n508,50.0997,8,377.5,356.97,379.27,306.9,100.0
p501,n508,n509,50.0966,8,379.27,306.9,381.04,256.83,100.0
p502,n509,n134,50.0997,8,381.04,256.83,382.8,206.77,100.0
p503,n124,n510,53.9955,10,474.04,570.36,505.99,526.82,100.0
p504,n510,n511,54.0087,10,505.99,526.82,537.93,483.28,100.0
p505,n511,n333,53.9955,10,537.93,483.28,569.87,439.74,100.0
p506,n125,n512,46.7221,8,323.81,290.36,326.11,243.7,150.0
p507,n512,n513,52.9434,8,326.11,243.7,333.63,191.29,150.0
p508,n513,n134,51.5535,8,333.63,191.29,382.8,206.77,150.0
p509,n126,n514,44.671,8,203.17,77.03,245.75,90.53,100.0
p510,n514,n515,44.6784,8,245.75,90.53,288.34,104.03,100.0
p511,n515,n516,44.671,8,288.34,104.03,330.92,117.53,100.0
p512,n516,n139,44.671,8,330.92,117.53,373.51,131.03,100.0
p513,n128,n517,51.3582,10,515.67,589.07,545.09,546.98,100.0
p514,n517,n518,51.354,10,545.09,546.98,574.52,504.9,100.0
p515,n518,n332,51.3582,4,574.52,504.9,603.95,462.8,100.0
p516,n129,n519,54.3225,10,659.8,795.05,713.91,799.8,100.0
p517,n519,n140,54.3143,7,713.91,799.8,768.02,804.56,100.0
p518,n129,n520,49.2445,10,659.8,795.05,668.7,746.62,100.0
p519,n520,n521,49.2586,10,668.7,746.62,677.62,698.18,100.0
p520,n521,n141,49.2445,4,677.62,698.18,686.52,649.74,100.0
p521,n130,n522,44.3503,10,557.63,609.69,579.38,571.04,100.0
p522,n522,n138,44.3554,10,579.38,571.04,601.12,532.38,100.0
p523,n132,n523,44.1281,8,424.4,329.23,427.62,285.22,100.0
p524,n523,n137,44.1281,8,427.62,285.22,430.85,241.21,100.0
p525,n132,n524,53.5583,8,424.4,329.23,469.08,358.75,100.0
p526,n524,n136,53.5538,8,469.08,358.75,513.76,388.27,100.0
p527,n138,n525,55.6634,4,601.12,532.38,650.0,559.01,100.0
p528,n525,n145,55.6496,4,650.0,559.01,698.87,585.63,100.0
p529,n139,n526,51.9983,8,373.51,131.03,422.52,148.38,100.0
p530,n526,n527,51.9994,8,422.52,148.38,471.54,165.75,100.0
p531,n527,n152,51.9983,8,471.54,165.75,520.55,183.11,100.0
p532,n140,n528,47.4437,7,768.02,804.56,771.97,757.28,100.0
p533,n528,n529,47.4412,4,771.97,757.28,775.93,710.0,100.0
p534,n529,n150,47.4437,4,775.93,710.0,779.88,662.72,100.0
p535,n142,n530,52.2005,8,491.67,283.43,506.12,233.27,100.0
p536,n530,n152,52.1933,8,506.12,233.27,520.55,183.11,100.0
p537,n142,n531,39.4283,8,491.67,283.43,524.06,305.92,150.0
p538,n531,n147,39.4283,8,524.06,305.92,556.44,328.41,150.0
p539,n143,n532,42.5989,4,635.34,483.62,669.76,508.72,100.0
p540,n532,n149,42.5948,4,669.76,508.72,704.16,533.84,100.0
p541,n143,n533,38.7756,4,635.34,483.62,658.77,452.72,100.0
p542,n533,n156,38.7795,4,658.77,452.72,682.2,421.82,100.0
p543,n144,n534,52.7663,7,827.24,810.58,831.22,757.96,100.0
p544,n534,n535,52.9968,7,831.22,757.96,831.65,704.97,100.0
p545,n535,n536,50.5571,4,831.65,704.97,829.95,654.44,100.0
p546,n536,n161,55.8986,4,829.95,654.44,843.12,600.12,100.0
p547,n146,n537,57.5883,4,699.42,580.32,739.65,621.52,100.0
p548,n537,n150,57.5883,4,739.65,621.52,779.88,662.72,100.0
p549,n148,n538,41.1662,4,588.0,351.62,562.29,383.77,100.0
p550,n538,n334,41.1662,4,562.29,383.77,536.59,415.93,100.0
p551,n149,n539,44.5293,4,704.16,533.84,708.69,489.54,150.0
p552,n539,n157,44.5315,4,708.69,489.54,713.2,445.23,150.0
p553,n151,n540,40.8647,4,617.83,373.57,593.86,406.66,100.0
p554,n540,n333,40.8606,4,593.86,406.66,569.87,439.74,100.0
p555,n154,n541,39.9307,4,652.08,399.06,628.02,430.93,100.0
p556,n541,n332,39.9399,4,628.02,430.93,603.95,462.8,100.0
p557,n155,n542,53.1881,7,877.85,782.22,874.98,729.11,100.0
p558,n542,n543,53.1746,7,874.98,729.11,872.11,676.01,100.0
p559,n543,n163,53.1881,4,872.11,676.01,869.24,622.9,100.0
p560,n157,n544,52.2754,4,713.2,445.23,716.34,393.05,100.0
p561,n544,n165,52.2783,4,716.34,393.05,719.47,340.87,100.0
p562,n158,n545,38.372,8,571.03,196.53,569.39,234.87,100.0
p563,n545,n546,36.8009,8,569.39,234.87,590.31,265.14,100.0
p564,n546,n547,46.4672,8,590.31,265.14,587.32,311.51,100.0
p565,n547,n548,56.091,4,587.32,311.51,641.12,327.38,100.0
p566,n548,n165,79.5058,4,641.12,327.38,719.47,340.87,100.0
p567,n158,n549,55.5403,8,571.03,196.53,625.26,208.53,100.0
p568,n549,n550,55.5409,4,625.26,208.53,679.49,220.52,100.0
p569,n550,n172,55.5403,4,679.49,220.52,733.72,232.53,100.0
p570,n159,n551,43.6496,7,912.7,758.45,915.36,714.88,100.0
p571,n551,n552,43.6468,7,915.36,714.88,918.04,671.32,100.0
p572,n552,n167,43.6496,7,918.04,671.32,920.7,627.75,100.0
p573,n160,n553,55.0151,4,756.81,470.46,766.72,416.35,100.0
p574,n553,n554,55.0151,4,766.72,416.35,776.63,362.23,100.0
p575,n554,n555,55.0151,4,776.63,362.23,786.54,308.12,100.0
p576,n555,n177,55.0151,4,786.54,308.12,796.45,254.0,100.0
p577,n161,n556,38.8471,4,843.12,600.12,857.92,564.2,100.0
p578,n556,n168,38.8453,4,857.92,564.2,872.72,528.28,100.0
p579,n162,n557,60.9532,7,934.43,751.2,938.32,690.38,100.0
p580,n557,n170,60.9616,7,938.32,690.38,942.22,629.54,100.0
p581,n164,n558,46.0603,4,800.83,492.62,807.76,447.08,100.0
p582,n558,n559,46.0541,4,807.76,447.08,814.69,401.55,100.0
p583,n559,n560,46.0681,4,814.69,401.55,821.61,356.01,100.0
p584,n560,n561,46.0541,4,821.61,356.01,828.53,310.47,100.0
p585,n561,n179,46.0603,4,828.53,310.47,835.46,264.94,100.0
p586,n165,n562,54.6393,4,719.47,340.87,726.6,286.7,100.0
p587,n562,n172,54.6332,4,726.6,286.7,733.72,232.53,100.0
p588,n166,n563,49.5382,4,858.56,521.58,866.55,472.69,100.0
p589,n563,n564,49.5368,4,866.55,472.69,874.56,423.8,100.0
p590,n564,n565,49.5382,4,874.56,423.8,882.56,374.91,100.0
p591,n565,n566,49.5368,4,882.56,374.91,890.57,326.03,100.0
p592,n566,n185,49.5382,4,890.57,326.03,898.57,277.14,100.0
p593,n169,n567,48.5253,7,993.5,734.78,996.72,686.36,100.0
p594,n567,n568,48.5197,7,996.72,686.36,999.93,637.95,100.0
p595,n568,n178,48.5253,7,999.93,637.95,1003.16,589.53,100.0
p596,n171,n569,51.2225,4,893.49,538.09,902.12,487.6,100.0
p597,n569,n570,51.2148,4,902.12,487.6,910.75,437.12,100.0
p598,n570,n571,51.2289,4,910.75,437.12,919.39,386.63,100.0
p599,n571,n572,51.2148,4,919.39,386.63,928.03,336.15,100.0
p600,n572,n188,51.2225,4,928.03,336.15,936.66,285.66,100.0
p601,n173,n573,53.3805,4,928.9,554.77,934.34,501.67,100.0
p602,n573,n574,53.3666,4,934.34,501.67,939.77,448.58,100.0
p603,n574,n575,53.3805,4,939.77,448.58,945.21,395.48,100.0
p604,n575,n576,53.3666,4,945.21,395.48,950.64,342.39,100.0
p605,n576,n189,53.3805,4,950.64,342.39,956.08,289.28,100.0
p606,n176,n577,54.7828,7,1067.85,732.35,1054.81,679.14,100.0
p607,n577,n181,48.7504,7,1054.81,679.14,1056.46,630.41,100.0
p608,n176,n578,32.3629,7,1067.85,732.35,1099.42,725.23,100.0
p609,n578,n184,32.3599,7,1099.42,725.23,1130.99,718.1,100.0
p610,n182,n579,40.204,7,1077.3,658.25,1104.15,688.18,100.0
p611,n579,n184,40.1921,7,1104.15,688.18,1130.99,718.1,100.0
p612,n186,n580,49.861,3,1090.25,587.4,1089.4,537.54,100.0
p613,n580,n193,49.8649,3,1089.4,537.54,1088.53,487.69,100.0
p614,n187,n581,49.9509,3,1011.43,450.85,1016.04,401.12,100.0
p615,n581,n582,49.9533,3,1016.04,401.12,1020.63,351.38,100.0
p616,n582,n195,49.9509,3,1020.63,351.38,1025.24,301.64,100.0
p617,n191,n583,46.4205,3,1204.59,707.94,1250.78,703.35,100.0
p618,n583,n584,52.3405,3,1250.78,703.35,1302.89,698.44,100.0
p619,n584,n585,45.92,3,1302.89,698.44,1348.76,700.57,100.0
p620,n585,n198,47.1995,3,1348.76,700.57,1395.96,701.0,100.0
p621,n191,n586,42.492,3,1204.59,707.94,1200.6,665.63,100.0
p622,n586,n587,42.492,3,1200.6,665.63,1196.61,623.33,100.0
p623,n587,n196,42.492,3,1196.61,623.33,1192.63,581.02,100.0
p624,n192,n588,51.4257,3,1137.55,583.51,1137.02,532.09,100.0
p625,n588,n194,53.0618,3,1137.02,532.09,1107.83,487.78,100.0
p626,n194,n589,56.8085,3,1107.83,487.78,1109.85,431.01,100.0
p627,n589,n590,56.8085,3,1109.85,431.01,1111.86,374.23,100.0
p628,n590,n197,56.8085,3,1111.86,374.23,1113.87,317.46,100.0
p629,n195,n591,45.0223,3,1025.24,301.64,1069.56,309.55,160.0
p630,n591,n197,45.0146,3,1069.56,309.55,1113.87,317.46,160.0
p631,n196,n592,50.1963,3,1192.63,581.02,1191.15,530.85,100.0
p632,n592,n593,50.1828,3,1191.15,530.85,1189.67,480.69,100.0
p633,n593,n594,50.1963,3,1189.67,480.69,1188.2,430.51,100.0
p634,n594,n595,50.1828,3,1188.2,430.51,1186.72,380.35,100.0
p635,n595,n199,50.1963,3,1186.72,380.35,1185.25,330.18,100.0
p636,n196,n596,51.8426,3,1192.63,581.02,1244.42,578.71,100.0
p637,n596,n597,51.8561,3,1244.42,578.71,1296.22,576.4,100.0
p638,n597,n598,51.8426,3,1296.22,576.4,1348.01,574.08,100.0
p639,n598,n200,51.8426,3,1348.01,574.08,1399.8,571.76,100.0
p640,n198,n599,51.041,5,1395.96,701.0,1446.77,705.8,100.0
p641,n599,n600,44.9201,5,1446.77,705.8,1491.26,699.57,100.0
p642,n600,n601,48.6103,5,1491.26,699.57,1534.31,677.0,100.0
p643,n601,n203,47.8073,5,1534.31,677.0,1563.84,639.4,100.0
p644,n198,n602,43.1012,5,1395.96,701.0,1397.24,657.92,100.0
p645,n602,n603,43.0927,3,1397.24,657.92,1398.52,614.85,100.0
p646,n603,n200,43.1012,3,1398.52,614.85,1399.8,571.76,100.0
p647,n199,n604,44.7849,3,1185.25,330.18,1229.78,334.88,160.0
p648,n604,n605,44.793,3,1229.78,334.88,1274.33,339.58,160.0
p649,n605,n606,44.7849,3,1274.33,339.58,1318.87,344.28,160.0
p650,n606,n607,44.793,3,1318.87,344.28,1363.41,348.97,160.0
p651,n607,n204,44.7849,3,1363.41,348.97,1407.95,353.67,160.0
p652,n199,n608,42.2564,3,1185.25,330.18,1221.67,351.59,100.0
p653,n608,n609,56.3877,3,1221.67,351.59,1240.85,404.62,100.0
p654,n609,n610,55.6009,3,1240.85,404.62,1258.66,457.29,100.0
p655,n610,n611,48.57,3,1258.66,457.29,1282.94,499.35,100.0
p656,n611,n612,49.0932,3,1282.94,499.35,1329.98,513.41,100.0
p657,n612,n613,45.8613,3,1329.98,513.41,1369.15,537.26,100.0
p658,n613,n200,46.1546,3,1369.15,537.26,1399.8,571.76,100.0
p659,n200,n614,53.6192,3,1399.8,571.76,1453.18,576.91,100.0
p660,n614,n201,53.6134,5,1453.18,576.91,1506.54,582.04,100.0
p661,n200,n615,51.9074,3,1399.8,571.76,1400.09,519.86,100.0
p662,n615,n616,59.8917,3,1400.09,519.86,1398.72,459.98,100.0
p663,n616,n617,47.9481,3,1398.72,459.98,1398.51,412.03,100.0
p664,n617,n204,59.1206,3,1398.51,412.03,1407.95,353.67,100.0
p665,n201,n618,40.5355,5,1506.54,582.04,1535.19,610.72,100.0
p666,n618,n203,40.5355,5,1535.19,610.72,1563.84,639.4,100.0
p667,n202,n619,46.3,5,1508.93,554.08,1509.11,507.78,100.0
p668,n619,n620,46.3,5,1509.11,507.78,1509.28,461.48,100.0
p669,n620,n621,46.3086,3,1509.28,461.48,1509.45,415.17,100.0
p670,n621,n214,46.3,3,1509.45,415.17,1509.62,368.87,100.0
p671,n204,n622,51.4048,3,1407.95,353.67,1458.79,361.27,160.0
p672,n622,n214,51.397,3,1458.79,361.27,1509.62,368.87,160.0
p673,n206,n623,44.2209,5,1636.63,668.44,1674.79,646.09,100.0
p674,n623,n226,44.2109,5,1674.79,646.09,1712.94,623.74,100.0
p675,n207,n624,38.9176,5,1558.76,511.02,1597.52,514.45,100.0
p676,n624,n210,38.9119,5,1597.52,514.45,1636.29,517.86,100.0
p677,n208,n625,42.9908,5,1629.01,592.81,1586.15,589.44,100.0
p678,n625,n337,42.9908,5,1586.15,589.44,1543.29,586.07,100.0
p679,n211,n626,34.6872,5,1672.42,568.34,1706.96,571.61,100.0
p680,n626,n233,50.597,5,1706.96,571.61,1754.99,555.7,100.0
p681,n218,n627,42.8756,5,1562.62,897.08,1604.61,905.72,200.0
p682,n627,n220,42.8756,5,1604.61,905.72,1646.61,914.36,200.0
p683,n218,n628,55.0033,5,1562.62,897.08,1507.73,900.61,200.0
p684,n628,n629,55.0033,5,1507.73,900.61,1452.84,904.14,200.0
p685,n629,n335,55.0033,5,1452.84,904.14,1397.95,907.67,200.0
p686,n219,n630,41.3852,5,1558.86,845.7,1600.17,843.19,100.0
p687,n630,n222,41.3852,5,1600.17,843.19,1641.48,840.68,100.0
p688,n219,n631,39.2619,5,1558.86,845.7,1540.37,811.06,150.0
p689,n631,n338,39.2615,5,1540.37,811.06,1521.88,776.43,150.0
p690,n220,n632,49.8701,5,1646.61,914.36,1696.13,920.24,200.0
p691,n632,n633,49.8781,5,1696.13,920.24,1745.66,926.11,200.0
p692,n633,n634,49.8701,5,1745.66,926.11,1795.19,931.98,200.0
p693,n634,n635,49.8701,5,1795.19,931.98,1844.71,937.86,200.0
p694,n635,n636,49.8781,5,1844.71,937.86,1894.24,943.73,200.0
p695,n636,n230,49.8701,1,1894.24,943.73,1943.76,949.61,200.0
p696,n222,n637,39.021,5,1641.48,840.68,1639.5,801.7,150.0
p697,n637,n638,46.2162,5,1639.5,801.7,1633.64,755.86,150.0
p698,n638,n639,45.0813,5,1633.64,755.86,1653.87,715.57,150.0
p699,n639,n640,55.5188,5,1653.87,715.57,1701.44,686.96,150.0
p700,n640,n641,52.7013,5,1701.44,686.96,1752.66,674.56,150.0
p701,n641,n229,38.6951,5,1752.66,674.56,1757.58,636.18,150.0
p702,n223,n642,52.7766,5,1690.26,842.71,1742.99,840.56,100.0
p703,n642,n643,52.7766,5,1742.99,840.56,1795.73,838.42,100.0
p704,n643,n644,52.7677,5,1795.73,838.42,1848.45,836.28,100.0
p705,n644,n232,52.7766,1,1848.45,836.28,1901.18,834.14,100.0
p706,n223,n645,46.0095,5,1690.26,842.71,1693.12,888.63,100.0
p707,n645,n646,49.2161,5,1693.12,888.63,1742.2,892.35,100.0
p708,n646,n647,54.441,5,1742.2,892.35,1796.56,895.3,100.0
p709,n647,n648,51.5097,5,1796.56,895.3,1848.07,895.32,100.0
p710,n648,n228,56.1044,1,1848.07,895.32,1904.17,894.73,100.0
p711,n224,n649,51.6009,5,1691.99,782.26,1743.54,779.95,100.0
p712,n649,n650,51.6098,5,1743.54,779.95,1795.1,777.63,100.0
p713,n650,n651,51.5963,5,1795.1,777.63,1846.64,775.31,100.0
p714,n651,n235,51.6009,1,1846.64,775.31,1898.19,772.99,100.0
p715,n224,n652,42.111,5,1691.99,782.26,1694.43,740.22,100.0
p716,n652,n225,63.0104,5,1694.43,740.22,1757.1,733.69,100.0
p717,n225,n653,46.3567,5,1757.1,733.69,1803.15,728.38,100.0
p718,n653,n654,46.3567,5,1803.15,728.38,1849.2,723.06,100.0
p719,n654,n239,46.3567,1,1849.2,723.06,1895.25,717.74,100.0
p720,n225,n655,41.5854,5,1757.1,733.69,1755.94,692.12,100.0
p721,n655,n656,42.1769,5,1755.94,692.12,1798.11,691.81,100.0
p722,n656,n657,51.0216,5,1798.11,691.81,1849.13,690.97,100.0
p723,n657,n241,44.6217,1,1849.13,690.97,1893.1,683.37,100.0
p724,n228,n658,50.1102,1,1904.17,894.73,1954.28,894.64,100.0
p725,n658,n240,50.1052,1,1954.28,894.64,2004.39,894.55,100.0
p726,n230,n659,52.4974,1,1943.76,949.61,1996.25,948.37,200.0
p727,n659,n660,52.4974,1,1996.25,948.37,2048.73,947.13,200.0
p728,n660,n248,52.4974,1,2048.73,947.13,2101.21,945.9,200.0
p729,n240,n661,56.5261,1,2004.39,894.55,2008.51,838.17,100.0
p730,n661,n662,50.3384,1,2008.51,838.17,2010.38,787.87,100.0
p731,n662,n663,62.2137,1,2010.38,787.87,2011.09,725.66,100.0
p732,n663,n252,34.8226,1,2011.09,725.66,1998.45,693.21,100.0
p733,n245,n664,50.6261,1,2046.96,894.6,2048.98,844.01,100.0
p734,n664,n665,50.6292,1,2048.98,844.01,2050.98,793.42,100.0
p735,n665,n666,50.6261,1,2050.98,793.42,2053.0,742.84,100.0
p736,n666,n258,50.6292,1,2053.0,742.84,2055.01,692.25,100.0
p737,n246,n667,35.78,5,1771.99,413.95,1796.76,388.13,100.0
p738,n667,n254,52.1012,5,1796.76,388.13,1848.77,391.16,100.0
p739,n248,n668,49.1982,1,2101.21,945.9,2149.97,952.42,200.0
p740,n668,n669,50.9743,1,2149.97,952.42,2200.94,951.41,200.0
p741,n669,n670,46.6046,1,2200.94,951.41,2247.08,957.97,200.0
p742,n670,n671,47.2139,12,2247.08,957.97,2293.71,965.39,200.0
p743,n671,n672,51.2096,12,2293.71,965.39,2343.68,976.6,200.0
p744,n672,n271,50.8017,12,2343.68,976.6,2393.77,985.03,200.0
p745,n251,n673,44.4531,1,1952.82,622.69,1947.14,578.6,100.0
p746,n673,n674,44.4439,1,1947.14,578.6,1941.47,534.52,100.0
p747,n674,n675,44.4531,1,1941.47,534.52,1935.8,490.43,100.0
p748,n675,n260,44.4531,1,1935.8,490.43,1930.12,446.34,100.0
p749,n252,n676,38.6749,1,1998.45,693.21,1990.57,655.35,100.0
p750,n676,n255,38.6812,1,1990.57,655.35,1982.68,617.48,100.0
p751,n255,n677,51.8609,1,1982.68,617.48,2031.66,600.44,150.0
p752,n677,n264,51.8511,1,2031.66,600.44,2080.64,583.4,150.0
